State,district,arrival_date,Sold_Amount,esti.yeild,modal_price/Quintol
RJ,Kota,Jul,10282.9,725,3495.888889
RJ,Chittorgarh,Jul,5036.2,715,3425.413043
RJ,Bundi,Jul,168.6,509,3453.842857
RJ,Bhilwara,Jul,52.5,755,3587.5
RJ,Baran,Jul,3695.2,705,3452.73494
RJ,Udaipur,Jul,20.2,765,3450
RJ,Baran,Aug,2007.1,705,3525.541667
RJ,Bundi,Aug,51,509,3483.15
RJ,Chittorgarh,Aug,2025.6,715,3505.8125
RJ,Jhalawar,Aug,4793,580,3583.891892
RJ,Kota,Aug,8365,725,3553.1
RJ,Swai Madhopur,Aug,2,740,3291
RJ,Udaipur,Aug,7.2,765,3500
RJ,Bhilwara,Aug,20,755,3750
RJ,Udaipur,Sep,52,765,3550
RJ,Kota,Sep,4258.9,725,3515.6
RJ,Jhalawar,Sep,3269.6,580,3564.137931
RJ,Chittorgarh,Sep,750.8,715,3483.2
RJ,Bundi,Sep,27.1,509,3509.346154
RJ,Baran,Sep,1589.2,705,3471.681818
RJ,Swai Madhopur,Sep,1254,740,3505.5
RJ,Udaipur,Oct,19.3,765,3550
RJ,Swai Madhopur,Oct,59.6,740,3315
RJ,Kota,Oct,37684.9,725,3544.8
RJ,Jhalawar,Oct,25768.4,580,3564.666667
RJ,Chittorgarh,Oct,3754.7,715,3491.545455
RJ,Bundi,Oct,2566.3,509,3541.166667
RJ,Baran,Oct,31403.1,705,3498.8125
RJ,Swai Madhopur,Nov,322.9,740,3591.666667
RJ,Kota,Nov,45273.1,725,3530.6
RJ,Jhalawar,Nov,53503.5,580,3572.151515
RJ,Chittorgarh,Nov,7965.2,715,3431.571429
RJ,Bundi,Nov,3010.6,509,3548.6
RJ,Bhilwara,Nov,29.8,755,1875
RJ,Baran,Nov,28284.1,705,3665.565217
