arrival_date,state,variety,district,modal_price
Sep,Madhya Pradesh,Yellow,Ratlam,3550
Sep,Madhya Pradesh,Yellow,Tikamgarh,3411.71428571429
Sep,Madhya Pradesh,Yellow,Rajgarh,3503.9696969697
Oct,Madhya Pradesh,Other,Rewa,2461
Oct,Madhya Pradesh,Other,Ratlam,3426.18181818182
Oct,Madhya Pradesh,Other,Rajgarh,3400.5
Oct,Madhya Pradesh,Other,Raisen,3351.85714285714
Oct,Madhya Pradesh,Other,Panna,3205
Oct,Madhya Pradesh,Other,Neemuch,3497.75
Oct,Madhya Pradesh,Other,Narsinghpur,3327.5
Oct,Madhya Pradesh,Other,Khandwa,3350
Oct,Madhya Pradesh,Other,Khargone,3462.36363636364
Oct,Madhya Pradesh,Other,Indore,3468.33333333333
Oct,Madhya Pradesh,Other,Hoshangabad,2869
Oct,Madhya Pradesh,Other,Guna,3401.73333333333
Oct,Madhya Pradesh,Other,Dhar,2853.83333333333
Oct,Madhya Pradesh,Other,Dewas,3469.875
Oct,Madhya Pradesh,Other,Sagar,3181.25
Oct,Madhya Pradesh,Other,Mandsaur,3297.1
Oct,Madhya Pradesh,Other,Satna,3127.66666666667
Oct,Madhya Pradesh,Soyabeen,Ratlam,3542
Oct,Madhya Pradesh,Other,Shajapur,3519
Oct,Madhya Pradesh,Other,Chhindwara,3390.5
Oct,Madhya Pradesh,Soyabeen,Sagar,3425
Oct,Madhya Pradesh,Soyabeen,Rajgarh,3461.25
Oct,Madhya Pradesh,Soyabeen,Mandsaur,3555.4
Oct,Madhya Pradesh,Soyabeen,Khargone,3243.66666666667
Oct,Madhya Pradesh,Soyabeen,Harda,3267.14285714286
Oct,Madhya Pradesh,Soyabeen,Guna,3398
Oct,Madhya Pradesh,Other,Sehore,3420
Oct,Madhya Pradesh,Soyabeen,Dewas,3405.77777777778
Oct,Madhya Pradesh,Soyabeen,Chhatarpur,3337.33333333333
Oct,Madhya Pradesh,Soyabeen,Bhopal,3320
Oct,Madhya Pradesh,Soyabeen,Ashoknagar,3200
Oct,Madhya Pradesh,Other,Vidisha,3429.2
Oct,Madhya Pradesh,Other,Shivpuri,3433.33333333333
Oct,Madhya Pradesh,Other,Sheopur,3306
Oct,Madhya Pradesh,Other,Shehdol,3415
Oct,Madhya Pradesh,Soyabeen,Chhindwara,2800
Oct,Madhya Pradesh,Other,Chhatarpur,3378
Oct,Chattisgarh,Other,Rajnandgaon,3300
Oct,Madhya Pradesh,Other,Betul,3550
Oct,Gujarat,Soyabeen,Junagarh,3365
Oct,Gujarat,Soyabeen,Jamnagar,3200
Oct,Gujarat,Soyabeen,Dahod,3640
Oct,Gujarat,Soyabeen,Amreli,3500
Oct,Gujarat,Other,Surat,3000
Oct,Gujarat,Other,Sabarkantha,3445
Oct,Gujarat,Other,Rajkot,3232.5
Oct,Gujarat,Soyabeen,Rajkot,3300
Oct,Gujarat,Other,Bhavnagar,2820
Oct,Chattisgarh,Yellow,Mungeli,3347
Oct,Chattisgarh,Yellow,Kabirdham,3389.75
Oct,Chattisgarh,Yellow,Durg,3290
Oct,Chattisgarh,Soyabeen,Rajnandgaon,3399
Oct,Madhya Pradesh,Soyabeen,Sehore,3571.6
Oct,Chattisgarh,Other,Balodabazar,2930
Oct,Chattisgarh,Local,Rajnandgaon,3531
Oct,Chattisgarh,Yellow,Rajnandgaon,3511.33333333333
Oct,Madhya Pradesh,Other,Burhanpur,3400
Oct,Gujarat,Yellow,Rajkot,3455
