Date,Modal Price (Rs./Quintal)
18 Dec 2019,1870
17 Dec 2019,1875
16 Dec 2019,1905
13 Dec 2019,1865
12 Dec 2019,1880
11 Dec 2019,1775
07 Dec 2019,1890
06 Dec 2019,1880
29 Nov 2019,1650
28 Nov 2019,1920
25 Nov 2019,1805
22 Nov 2019,1660
21 Nov 2019,1610
20 Nov 2019,1595
19 Nov 2019,1660
18 Nov 2019,1610
16 Nov 2019,1560
14 Nov 2019,1545
13 Nov 2019,1335
11 Nov 2019,1320
09 Nov 2019,1465
08 Nov 2019,1465
07 Nov 2019,1575
06 Nov 2019,1500
05 Nov 2019,1580
04 Nov 2019,1565
02 Nov 2019,1600
01 Nov 2019,1595
31 Oct 2019,1640
30 Oct 2019,1640
23 Oct 2019,1440
22 Oct 2019,1380
21 Oct 2019,1705
19 Oct 2019,1425
18 Oct 2019,1375
16 Oct 2019,1560
15 Oct 2019,1545
11 Oct 2019,1600
04 Oct 2019,1301
30 Sep 2019,1881
27 Sep 2019,1980
26 Sep 2019,1875
21 Sep 2019,1910
20 Sep 2019,3505
19 Sep 2019,2071
17 Sep 2019,1750
16 Sep 2019,2090
09 Sep 2019,2135
06 Sep 2019,2115
04 Sep 2019,1950
03 Sep 2019,2130
31 Aug 2019,1801
29 Aug 2019,2142
27 Aug 2019,1975
20 Aug 2019,2030
19 Aug 2019,1991
30 Jul 2019,1985
26 Jul 2019,2031
25 Jul 2019,2030
24 Jul 2019,2162
22 Jul 2019,2085
19 Jul 2019,1820
17 Jul 2019,1890
16 Jul 2019,1905
15 Jul 2019,2015
12 Jul 2019,2005
10 Jul 2019,1965
09 Jul 2019,2125
08 Jul 2019,1905
01 Jul 2019,1935
28 Jun 2019,1930
27 Jun 2019,1915
25 Jun 2019,1860
24 Jun 2019,1715
13 Jun 2019,1670
12 Jun 2019,1630
11 Jun 2019,1811
10 Jun 2019,1870
07 Jun 2019,1945
06 Jun 2019,1800
04 Jun 2019,1940
01 Jun 2019,1905
31 May 2019,1881
29 May 2019,1940
28 May 2019,1910
27 May 2019,1980
24 May 2019,1890
23 May 2019,2041
22 May 2019,1845
21 May 2019,1800
16 May 2019,1761
14 May 2019,1735
09 May 2019,1870
08 May 2019,1900
06 May 2019,1940
03 May 2019,1750
01 May 2019,2055
30 Apr 2019,1980
29 Apr 2019,2151
26 Apr 2019,2171
25 Apr 2019,2015
24 Apr 2019,2150
23 Apr 2019,2190
22 Apr 2019,2160
20 Apr 2019,2230
15 Apr 2019,2150
12 Apr 2019,2000
11 Apr 2019,2070
10 Apr 2019,1955
08 Apr 2019,2090
06 Apr 2019,2081
03 Apr 2019,2035
02 Apr 2019,1901
29 Mar 2019,1910
28 Mar 2019,1635
18 Mar 2019,1400
16 Mar 2019,1825
15 Mar 2019,1500
12 Mar 2019,1795
11 Mar 2019,1765
08 Mar 2019,1749
07 Mar 2019,1800
05 Mar 2019,1816
02 Mar 2019,1770
01 Mar 2019,1770
27 Feb 2019,1890
26 Feb 2019,1800
25 Feb 2019,1835
22 Feb 2019,1929
21 Feb 2019,1888
20 Feb 2019,1910
18 Feb 2019,1600
16 Feb 2019,1867
13 Feb 2019,1961
11 Feb 2019,2080
08 Feb 2019,1745
07 Feb 2019,2070
06 Feb 2019,2015
05 Feb 2019,1915
