,Date,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal)
9841,16 Feb 17,Indore,Mhow,Soyabean,Other,FAQ,2740.0,2917.0,2830.0
9861,16 Feb 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2700.0,2853.0,2760.0
10015,17 Feb 17,Indore,Gautampura,Soyabean,Other,FAQ,2840.0,3000.0,2890.0
10022,17 Feb 17,Indore,Indore,Soyabean,Yellow,FAQ,2400.0,2875.0,2800.0
10054,17 Feb 17,Indore,Mhow,Soyabean,Other,FAQ,2740.0,2900.0,2820.0
10248,18 Feb 17,Indore,Gautampura,Soyabean,Other,FAQ,2766.0,3021.0,3000.0
10256,18 Feb 17,Indore,Indore,Soyabean,Yellow,FAQ,2400.0,2880.0,2800.0
10288,18 Feb 17,Indore,Mhow,Soyabean,Other,FAQ,2720.0,3006.0,2865.0
10307,18 Feb 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2652.0,2841.0,2722.0
10368,19 Feb 17,Indore,Gautampura,Soyabean,Other,FAQ,2850.0,3000.0,2900.0
10445,20 Feb 17,Indore,Gautampura,Soyabean,Other,FAQ,2750.0,3000.0,2850.0
10454,20 Feb 17,Indore,Indore,Soyabean,Yellow,FAQ,2550.0,2860.0,2780.0
10482,20 Feb 17,Indore,Mhow,Soyabean,Other,FAQ,2700.0,2880.0,2790.0
10502,20 Feb 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2700.0,2852.0,2755.0
10653,21 Feb 17,Indore,Gautampura,Soyabean,Other,FAQ,2737.0,2860.0,2860.0
10660,21 Feb 17,Indore,Indore,Soyabean,Yellow,FAQ,700.0,2895.0,2850.0
10688,21 Feb 17,Indore,Mhow,Soyabean,Other,FAQ,2645.0,2977.0,2810.0
10708,21 Feb 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2700.0,2826.0,2752.0
10891,22 Feb 17,Indore,Gautampura,Soyabean,Other,FAQ,2740.0,2850.0,2800.0
10898,22 Feb 17,Indore,Indore,Soyabean,Yellow,FAQ,730.0,2875.0,2810.0
10926,22 Feb 17,Indore,Mhow,Soyabean,Other,FAQ,2600.0,2858.0,2730.0
10944,22 Feb 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2620.0,2807.0,2766.0
11122,23 Feb 17,Indore,Indore,Soyabean,Yellow,FAQ,2700.0,2890.0,2800.0
11155,23 Feb 17,Indore,Mhow,Soyabean,Other,FAQ,2712.0,2890.0,2800.0
11172,23 Feb 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2658.0,2836.0,2751.0
11344,25 Feb 17,Indore,Mhow,Soyabean,Other,FAQ,2741.0,2874.0,2805.0
11357,25 Feb 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2325.0,2775.0,2750.0
11483,27 Feb 17,Indore,Gautampura,Soyabean,Other,FAQ,2700.0,3000.0,2800.0
