State,District,Arrival_Date,Sold_Amount/tonns,
maharastra,Nandurbar,Mar,283,
maharastra,Nashik,Mar,399,
maharastra,Osmanabad,Mar,374,
maharastra,Parbhani,Mar,386,
maharastra,Pune,Mar,61,
maharastra,Sholapur,Mar,28,
maharastra,Vashim,Mar,13068,
maharastra,Wardha,Mar,7137,
maharastra,Yavatmal,Mar,1617,
maharastra,Ahmednagar,Apr,245,
maharastra,Akola,Apr,3594,
maharastra,Amarawati,Apr,7354,
maharastra,Aurangabad,Apr,8,
maharastra,Beed,Apr,2736,
maharastra,Buldhana,Apr,10244,
maharastra,Chandrapur,Apr,439,
maharastra,Hingoli,Apr,2022,
maharastra,Jalana,Apr,1008,
maharastra,Jalgaon,Apr,74,
maharastra,Latur,Apr,30468,
maharastra,Nagpur,Apr,2231,
maharastra,Nanded,Apr,817,
maharastra,Nandurbar,Apr,38,
maharastra,Nashik,Apr,760,
maharastra,Osmanabad,Apr,713,
maharastra,Parbhani,Apr,696,
maharastra,Pune,Apr,1,
maharastra,Sholapur,Apr,155,
maharastra,Vashim,Apr,12566,
maharastra,Wardha,Apr,6897,
maharastra,Yavatmal,Apr,3014,
maharastra,Ahmednagar,May,281,
maharastra,Akola,May,3381,
maharastra,Amarawati,May,5716,
maharastra,Aurangabad,May,5,
maharastra,Beed,May,2531,
maharastra,Buldhana,May,13133,
maharastra,Chandrapur,May,279,
maharastra,Hingoli,May,1660,
maharastra,Jalana,May,1141,
maharastra,Jalgaon,May,27,
maharastra,Latur,May,20709,
maharastra,Nagpur,May,1481,
maharastra,Nanded,May,635,
maharastra,Nandurbar,May,12,
maharastra,Nashik,May,794,
maharastra,Osmanabad,May,278,
maharastra,Parbhani,May,181,
maharastra,Pune,May,11,
maharastra,Sholapur,May,90,
maharastra,Vashim,May,12159,
maharastra,Wardha,May,5740,
maharastra,Yavatmal,May,2474,
maharastra,Ahmednagar,Jun,279,
maharastra,Akola,Jun,4357,
maharastra,Amarawati,Jun,5963,
maharastra,Aurangabad,Jun,6,
maharastra,Beed,Jun,2168,
maharastra,Buldhana,Jun,11896,
maharastra,Chandrapur,Jun,302,
maharastra,Hingoli,Jun,1511,
maharastra,Jalana,Jun,1505,
maharastra,Jalgaon,Jun,38,
maharastra,Latur,Jun,23162,
maharastra,Nagpur,Jun,1913,
maharastra,Nanded,Jun,324,
maharastra,Nandurbar,Jun,13,
maharastra,Nashik,Jun,1058,
maharastra,Osmanabad,Jun,529,
maharastra,Parbhani,Jun,1273,
maharastra,Pune,Jun,6,
maharastra,Sholapur,Jun,165,
maharastra,Vashim,Jun,12256,
maharastra,Wardha,Jun,4442,
maharastra,Yavatmal,Jun,938,
maharastra,Ahmednagar,Jul,184,
maharastra,Akola,Jul,3113,
maharastra,Amarawati,Jul,2938,
maharastra,Aurangabad,Jul,15,
maharastra,Beed,Jul,790,
maharastra,Buldhana,Jul,11046,
maharastra,Chandrapur,Jul,34,
maharastra,Hingoli,Jul,894,
maharastra,Jalana,Jul,1446,
maharastra,Jalgaon,Jul,19,
maharastra,Latur,Jul,8921,
maharastra,Nagpur,Jul,1394,
maharastra,Nanded,Jul,157,
maharastra,Nandurbar,Jul,11,
maharastra,Nashik,Jul,660,
maharastra,Osmanabad,Jul,622,
maharastra,Parbhani,Jul,278,
maharastra,Sholapur,Jul,61,
maharastra,Vashim,Jul,7872,
maharastra,Wardha,Jul,2804,
maharastra,Yavatmal,Jul,532,
maharastra,Pune,Jul,14,
maharastra,Ahmednagar,Aug,182,
maharastra,Akola,Aug,2528,
maharastra,Amarawati,Aug,4565,
maharastra,Aurangabad,Aug,3,
maharastra,Beed,Aug,602,
maharastra,Buldhana,Aug,7590,
maharastra,Hingoli,Aug,505,
maharastra,Jalana,Aug,1054,
maharastra,Jalgaon,Aug,49,
maharastra,Latur,Aug,11541,
maharastra,Nagpur,Aug,1237,
maharastra,Nanded,Aug,356,
maharastra,Nandurbar,Aug,2,
maharastra,Nashik,Aug,497,
maharastra,Osmanabad,Aug,241,
maharastra,Parbhani,Aug,254,
maharastra,Pune,Aug,1,
maharastra,Sholapur,Aug,51,
maharastra,Vashim,Aug,7115,
maharastra,Wardha,Aug,3327,
maharastra,Yavatmal,Aug,2064,
maharastra,Chandrapur,Aug,42,
maharastra,Ahmednagar,Sep,226,
maharastra,Akola,Sep,2378,
maharastra,Amarawati,Sep,4450,
maharastra,Aurangabad,Sep,8,
maharastra,Beed,Sep,935,
maharastra,Buldhana,Sep,4790,
maharastra,Chandrapur,Sep,3,
maharastra,Hingoli,Sep,635,
maharastra,Jalana,Sep,677,
maharastra,Jalgaon,Sep,46,
maharastra,Latur,Sep,19540,
maharastra,Nagpur,Sep,680,
maharastra,Nanded,Sep,326,
maharastra,Nandurbar,Sep,4,
maharastra,Nashik,Sep,177,
maharastra,Osmanabad,Sep,309,
maharastra,Parbhani,Sep,1311,
maharastra,Pune,Sep,2,
maharastra,Sholapur,Sep,88,
maharastra,Vashim,Sep,8673,
maharastra,Wardha,Sep,1702,
maharastra,Yavatmal,Sep,1741,
maharastra,Ahmednagar,Oct,2243,
maharastra,Akola,Oct,8810,
maharastra,Amarawati,Oct,18642,
maharastra,Aurangabad,Oct,97,
maharastra,Beed,Oct,3554,
maharastra,Buldhana,Oct,16960,
maharastra,Chandrapur,Oct,51,
maharastra,Hingoli,Oct,6211,
maharastra,Jalana,Oct,12436,
maharastra,Jalgaon,Oct,767,
maharastra,Latur,Oct,21897,
maharastra,Nagpur,Oct,5380,
maharastra,Nanded,Oct,6204,
maharastra,Nandurbar,Oct,173,
maharastra,Nashik,Oct,1171,
maharastra,Osmanabad,Oct,3342,
maharastra,Parbhani,Oct,3168,
maharastra,Pune,Oct,35,
maharastra,Sholapur,Oct,1217,
maharastra,Vashim,Oct,23242,
maharastra,Wardha,Oct,9829,
maharastra,Yavatmal,Oct,6969,
maharastra,Ahmednagar,Nov,4863,
maharastra,Akola,Nov,22155,
maharastra,Amarawati,Nov,42861,
maharastra,Aurangabad,Nov,439,
maharastra,Beed,Nov,7946,
maharastra,Buldhana,Nov,53922,
maharastra,Chandrapur,Nov,7971,
maharastra,Hingoli,Nov,16026,
maharastra,Jalana,Nov,19699,
maharastra,Jalgaon,Nov,1045,
maharastra,Latur,Nov,93688,
maharastra,Nagpur,Nov,16790,
maharastra,Nanded,Nov,19978,
maharastra,Nandurbar,Nov,1361,
maharastra,Nashik,Nov,4112,
maharastra,Osmanabad,Nov,9169,
maharastra,Parbhani,Nov,8257,
maharastra,Pune,Nov,304,
maharastra,Sholapur,Nov,2277,
maharastra,Vashim,Nov,59595,
maharastra,Wardha,Nov,39617,
maharastra,Yavatmal,Nov,15813,
